Most important legitimate n_grams
1. .com - freq: 2205
2. ://. - freq: 2059
3. com/ - freq: 2037
4. %80% - freq: 679
5. 80%8 - freq: 674
6. %e2% - freq: 667
7. e2%8 - freq: 667
8. 2%80 - freq: 667
9. 0%8b - freq: 663
10. %d8% - freq: 639
11. %d9% - freq: 432
12. d9%8 - freq: 426
13. d8%a - freq: 398
14. .htm - freq: 381
15. html - freq: 360
16. e.co - freq: 295
17. s.co - freq: 286
18. 2018 - freq: 281
19. news - freq: 261
20. tion - freq: 251
21. d8%b - freq: 239
22. /new - freq: 200
23. /201 - freq: 198
24. ing- - freq: 191
25. t.co - freq: 190
26. r.co - freq: 182
27. //.s - freq: 179
28. %a7% - freq: 174
29. utm_ - freq: 171
30. a.co - freq: 169
31. 8%a7 - freq: 168
32. om/t - freq: 154
33. 018/ - freq: 153
34. a7%d - freq: 151
35. /11/ - freq: 147
36. ews/ - freq: 147
37. er.c - freq: 143
38. home - freq: 142
39. //.c - freq: 137
40. o.co - freq: 135
41. //.m - freq: 134
42. 18/1 - freq: 133
43. //.a - freq: 132
44. 8/11 - freq: 128
45. -%d8 - freq: 126
46. //.t - freq: 126
47. com. - freq: 124
48. om/a - freq: 122
49. port - freq: 122
50. //.b - freq: 119
51. &utm - freq: 118
52. //.i - freq: 117
53. the- - freq: 116
54. om/p - freq: 115
55. arti - freq: 115
56. n.co - freq: 111
57. ment - freq: 111
58. d.co - freq: 108
59. atio - freq: 107
60. y.co - freq: 106
61. om/s - freq: 105
62. /tr/ - freq: 103
63. /art - freq: 102
64. ://s - freq: 101
65. rtic - freq: 100
66. m/tr - freq: 100
67. ://t - freq: 100
68. l.co - freq: 97
69. medi - freq: 97
70. ting - freq: 96
71. 8%b1 - freq: 95
72. /pro - freq: 95
73. %e0% - freq: 94
74. .co. - freq: 94
75. .net - freq: 94
76. e0%a - freq: 94
77. k.co - freq: 93
78. -the - freq: 92
79. ://a - freq: 92
80. icle - freq: 91
81. 7%d8 - freq: 90
82. //.d - freq: 90
83. .org - freq: 90
84. om/n - freq: 89
85. org/ - freq: 89
86. ourc - freq: 89
87. inde - freq: 89
88. net/ - freq: 89
89. sour - freq: 88
90. %b1% - freq: 88
91. urce - freq: 88
92. ticl - freq: 87
93. om/e - freq: 86
94. //.e - freq: 86
