Most important phishing n_grams
1. .com - freq: 1937
2. com/ - freq: 1648
3. .php - freq: 1163
4. ://. - freq: 831
5. php? - freq: 721
6. ount - freq: 710
7. coun - freq: 710
8. .htm - freq: 697
9. acco - freq: 608
10. ccou - freq: 607
11. bank - freq: 589
12. html - freq: 557
13. logi - freq: 490
14. /ban - freq: 489
15. ogin - freq: 483
16. s.co - freq: 475
17. essi - freq: 463
18. amer - freq: 458
19. meri - freq: 458
20. eric - freq: 456
21. rica - freq: 455
22. sion - freq: 439
23. ssio - freq: 434
24. sess - freq: 422
25. ica/ - freq: 413
26. hp?c - freq: 412
27. unt- - freq: 409
28. mail - freq: 409
29. ion= - freq: 402
30. &ses - freq: 389
31. ofam - freq: 388
32. fame - freq: 388
33. anko - freq: 387
34. kofa - freq: 387
35. nkof - freq: 387
36. ?cmd - freq: 382
37. cmd= - freq: 382
38. p?cm - freq: 371
39. /wp- - freq: 370
40. inde - freq: 339
41. /log - freq: 338
42. ndex - freq: 338
43. /ind - freq: 335
44. ://t - freq: 332
45. om/b - freq: 331
46. tail - freq: 327
47. tion - freq: 327
48. ails - freq: 324
49. etai - freq: 323
50. deta - freq: 322
51. atch - freq: 316
52. disp - freq: 310
53. patc - freq: 304
54. ispa - freq: 304
55. spat - freq: 304
56. n.ph - freq: 304
57. &dis - freq: 299
58. md=_ - freq: 293
59. tch= - freq: 288
60. m/ba - freq: 286
61. _acc - freq: 282
62. s&se - freq: 282
63. =_ac - freq: 282
64. ils& - freq: 282
65. t-de - freq: 282
66. -det - freq: 282
67. d=_a - freq: 282
68. ls&s - freq: 282
69. nt-d - freq: 282
70. ts.c - freq: 279
71. ecno - freq: 269
72. noit - freq: 264
73. //te - freq: 261
74. oits - freq: 258
75. its. - freq: 258
76. tecn - freq: 258
77. cnoi - freq: 258
78. ://a - freq: 250
79. /tec - freq: 248
80. com. - freq: 247
81. cont - freq: 232
82. ent/ - freq: 229
83. tent - freq: 228
84. veri - freq: 227
85. nten - freq: 226
86. sign - freq: 225
87. onte - freq: 224
88. e.co - freq: 221
89. erif - freq: 221
90. -con - freq: 218
91. dex. - freq: 217
92. p-co - freq: 215
93. wp-c - freq: 215
94. /acc - freq: 206
95. p.co - freq: 204
96. ervi - freq: 198
97. atio - freq: 194
98. line - freq: 187
99. .cn/ - freq: 186
100. cn/m - freq: 186
101. n/mi - freq: 186
102. /mim - freq: 186
103. mim/ - freq: 186
104. app. - freq: 181
105. host - freq: 179
106. pp.c - freq: 178
107. om/w - freq: 175
108. onli - freq: 174
109. nlin - freq: 174
110. view - freq: 171
111. secu - freq: 169
112. ecur - freq: 169
113. webh - freq: 169
114. l.ph - freq: 168
115. gin. - freq: 167
116. bhos - freq: 167
117. ebho - freq: 167
118. gnin - freq: 162
119. .000 - freq: 162
120. &fid - freq: 162
121. /sig - freq: 162
122. igni - freq: 161
123. cure - freq: 161
124. osta - freq: 160
125. alle - freq: 160
126. stap - freq: 160
127. tapp - freq: 160
128. 000w - freq: 160
129. 00we - freq: 160
130. 0web - freq: 160
131. ://s - freq: 158
132. t/ba - freq: 156
133. m/wp - freq: 156
134. rify - freq: 155
135. l.co - freq: 155
136. /cha - freq: 152
137. over - freq: 151
138. ail. - freq: 148
139. .net - freq: 142
140. in.p - freq: 141
141. ://m - freq: 141
142. ://p - freq: 140
143. -ver - freq: 136
144. n.co - freq: 135
145. unt/ - freq: 135
146. /ove - freq: 135
147. payp - freq: 132
148. rvie - freq: 131
149. net/ - freq: 131
150. .co. - freq: 130
151. chal - freq: 130
152. enge - freq: 130
153. hall - freq: 129
154. leng - freq: 129
155. llen - freq: 129
156. iews - freq: 128
157. t-ve - freq: 127
158. aypa - freq: 127
159. udes - freq: 127
160. verv - freq: 127
161. a.co - freq: 126
162. incl - freq: 126
163. stom - freq: 126
164. gevd - freq: 125
165. hn.p - freq: 125
166. shn. - freq: 125
167. lude - freq: 125
168. dl.p - freq: 125
169. vdl. - freq: 125
170. nclu - freq: 125
171. ngev - freq: 125
172. evdl - freq: 125
173. ewsh - freq: 125
174. wshn - freq: 125
175. gin/ - freq: 124
176. ion. - freq: 124
177. clud - freq: 124
178. /sec - freq: 124
179. emai - freq: 124
180. nin/ - freq: 124
181. des/ - freq: 123
182. /mai - freq: 123
183. x.ph - freq: 123
184. nt-v - freq: 123
185. admi - freq: 122
186. bcb7 - freq: 122
187. bfbc - freq: 122
188. usto - freq: 122
189. gdcg - freq: 121
190. dmin - freq: 121
191. gf53 - freq: 120
192. 49.p - freq: 120
193. 3g49 - freq: 120
194. 53g4 - freq: 120
195. b7gd - freq: 120
196. cb7g - freq: 120
197. 7gdc - freq: 120
